time(utc),error,low alarm,high alarm,'ION6200 (KWh)','ION6200 demand (kW)'
'2004-05-12 15:45:00',0,0,0,141713,
'2004-05-12 16:00:00',0,0,0,141743,120
'2004-05-12 16:15:00',0,0,0,141774,124
'2004-05-12 16:30:00',0,0,0,141805,124
'2004-05-12 16:45:00',0,0,0,141836,124
'2004-05-12 17:00:00',0,0,0,141867,124
'2004-05-12 17:15:00',0,0,0,141897,120
'2004-05-12 17:30:00',0,0,0,141928,124
'2004-05-12 17:45:00',0,0,0,141959,124
'2004-05-12 18:00:00',0,0,0,141990,124
'2004-05-12 18:15:00',0,0,0,142020,120
'2004-05-12 18:30:00',0,0,0,142051,124
'2004-05-12 18:45:00',0,0,0,142082,124
'2004-05-12 19:00:00',0,0,0,142113,124
'2004-05-12 19:15:00',0,0,0,142144,124
'2004-05-12 19:30:00',0,0,0,142174,120
'2004-05-12 19:45:00',0,0,0,142205,124
'2004-05-12 20:00:00',0,0,0,142236,124
'2004-05-12 20:15:00',0,0,0,142267,124
'2004-05-12 20:30:00',0,0,0,142297,120
'2004-05-12 20:45:00',0,0,0,142328,124
'2004-05-12 21:00:00',0,0,0,142359,124
'2004-05-12 21:15:00',0,0,0,142390,124
'2004-05-12 21:30:00',0,0,0,142421,124
'2004-05-12 21:45:00',0,0,0,142451,120
'2004-05-12 22:00:00',0,0,0,142482,124
